path	size_lines	mtime
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.one-mil-girls.pi-untracked.txt	0	0	2026-06-11 12:13:32.083161507 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.pully-fully-pull-based-fleet-reconciler.pi-files.txt	1018	17	2026-06-11 12:13:32.054161002 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.pully-fully-pull-based-fleet-reconciler.pi-untracked.txt	0	0	2026-06-11 12:13:32.055161020 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.rust-ai-web-auto.pi-files.txt	1618	27	2026-06-11 12:13:32.284165009 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.rust-ai-web-auto.pi-untracked.txt	0	0	2026-06-11 12:13:32.284165009 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.video-factory.pi-files.txt	0	0	2026-06-11 12:13:32.420167378 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.video-factory.pi-untracked.txt	0	0	2026-06-11 12:13:32.422167414 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.video-uploader.pi-files.txt	0	0	2026-06-11 12:13:32.405167117 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.video-uploader.pi-untracked.txt	0	0	2026-06-11 12:13:32.407167152 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.youtube-video-uploader.pi-files.txt	0	0	2026-06-11 12:13:32.446167831 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.youtube-video-uploader.pi-untracked.txt	0	0	2026-06-11 12:13:32.449000829 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/browser-extensions-shared.pi-files.diff	0	0	2026-06-11 12:20:01.526877048 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/browser-extensions-shared.pi-untracked.diff	0	0	2026-06-11 12:20:01.527877065 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-ai-lib.pi-files.diff	0	0	2026-06-11 12:20:01.545877373 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-ai-lib.pi-untracked.diff	0	0	2026-06-11 12:20:01.547877407 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-code.pi-files.diff	0	0	2026-06-11 12:20:01.484876330 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-code.pi-untracked.diff	0	0	2026-06-11 12:20:01.486876364 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/DraconDev.pi-files.diff	0	0	2026-06-11 12:20:01.567877749 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/DraconDev.pi-untracked.diff	0	0	2026-06-11 12:20:01.568877766 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-libs.pi-files.diff	0	0	2026-06-11 12:20:01.609878468 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-libs.pi-untracked.diff	0	0	2026-06-11 12:20:01.610878485 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/.dracon.pi-files.diff	0	0	2026-06-11 12:20:01.539877271 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/.dracon.pi-untracked.diff	0	0	2026-06-11 12:20:01.539877271 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-platform.pi-files.diff	0	0	2026-06-11 12:20:01.520876945 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-platform.pi-untracked.diff	0	0	2026-06-11 12:20:01.520876945 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-utilities.pi-files.diff	0	0	2026-06-11 12:20:01.512876808 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/dracon-utilities.pi-untracked.diff	0	0	2026-06-11 12:20:01.513876826 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/folder-auto-banner.pi-files.diff	0	0	2026-06-11 12:20:01.553877510 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/folder-auto-banner.pi-untracked.diff	0	0	2026-06-11 12:20:01.554877527 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/Junk-Runner-bevy.pi-files.diff	0	0	2026-06-11 12:20:01.498876569 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/Junk-Runner-bevy.pi-untracked.diff	0	0	2026-06-11 12:20:01.499876586 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/kiki-sassy-desktop-announcer.pi-files.diff	0	0	2026-06-11 12:20:01.616878587 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/kiki-sassy-desktop-announcer.pi-untracked.diff	0	0	2026-06-11 12:20:01.617878605 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/one-mil-girls.pi-files.diff	0	0	2026-06-11 12:20:01.505876689 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/one-mil-girls.pi-untracked.diff	0	0	2026-06-11 12:20:01.506876706 +0100
